id,deveui,received_at,payload
1,ABCDEF1234567890,2024-06-10 18:45:00+00,"{""payload_hex"": ""021a00002c""}"
2,58A0CB0000101640,2025-06-10 19:07:24.887+00,"{""payload_hex"": ""00db252cffffffff""}"
3,58A0CB0000101640,2025-06-10 19:08:29.661+00,"{""payload_hex"": ""00db2520ffffffff""}"
4,58A0CB0000101F62,2025-06-10 19:09:41.572+00,"{""payload_hex"": ""086b3444ffffffff""}"
5,58A0CB0000101640,2025-06-10 19:11:31.571+00,"{""payload_hex"": ""00db241bffffffff""}"
6,58A0CB00001088D7,2025-06-10 19:12:12.572+00,"{""payload_hex"": ""08fb3642ffffffff""}"
7,58A0CB0000108FB5,2025-06-10 19:14:02.483+00,"{""payload_hex"": ""08ab363fffffffff""}"
8,58A0CB0000108FF7,2025-06-10 19:15:16.517+00,"{""payload_hex"": ""08fb3642ffffffff""}"
9,58A0CB0000108FF2,2025-06-10 19:16:12.728+00,"{""payload_hex"": ""08fb3735ffffffff""}"
10,58A0CB0000101640,2025-06-10 19:16:29.292+00,"{""payload_hex"": ""00db2341ffffffff""}"
11,58A0CB0000108FB5,2025-06-10 19:17:02.308+00,"{""payload_hex"": ""08ab352affffffff""}"
12,58A0CB0000101640,2025-06-10 19:17:35.023+00,"{""payload_hex"": ""00db255bffffffff""}"
13,58A0CB0000101640,2025-06-10 19:18:39.962+00,"{""payload_hex"": ""00db285effffffff""}"
14,58A0CB0000108FF2,2025-06-10 19:18:52.882+00,"{""payload_hex"": ""08fb3422ffffffff""}"
15,58A0CB0000108FB5,2025-06-10 19:19:42.458+00,"{""payload_hex"": ""08ab321fffffffff""}"
16,58A0CB0000108FF2,2025-06-10 19:19:46.238+00,"{""payload_hex"": ""08fb321effffffff""}"
17,58A0CB0000101640,2025-06-10 19:20:38.319+00,"{""payload_hex"": ""00db2a60ffffffff""}"
18,58A0CB0000108FF2,2025-06-10 19:20:39.621+00,"{""payload_hex"": ""08fb301dffffffff""}"
19,58A0CB0000101640,2025-06-10 19:21:43.482+00,"{""payload_hex"": ""00db2c61ffffffff""}"
20,58A0CB0000108FB5,2025-06-10 19:22:10.748+00,"{""payload_hex"": ""08ab3020ffffffff""}"
21,58A0CB0000108FF2,2025-06-10 19:23:07.915+00,"{""payload_hex"": ""08fb2e1fffffffff""}"
22,58A0CB0000101640,2025-06-10 19:25:37.242+00,"{""payload_hex"": ""00db2e60ffffffff""}"
23,58A0CB0000108FF2,2025-06-10 19:26:12.549+00,"{""payload_hex"": ""08fb2c20ffffffff""}"
24,58A0CB0000108FB5,2025-06-10 19:28:12.543+00,"{""payload_hex"": ""08ab2c21ffffffff""}"
25,58A0CB0000101640,2025-06-10 19:28:38.347+00,"{""payload_hex"": ""00db2f58ffffffff""}"
26,58A0CB0000101640,2025-06-10 19:30:36.351+00,"{""payload_hex"": ""00db3052ffffffff""}"
27,58A0CB0000108FF2,2025-06-10 19:32:12.347+00,"{""payload_hex"": ""08fb2a23ffffffff""}"
28,58A0CB0000108FB5,2025-06-10 19:34:02.558+00,"{""payload_hex"": ""08ab2a24ffffffff""}"
29,58A0CB0000101640,2025-06-10 19:34:33.541+00,"{""payload_hex"": ""00db314dffffffff""}"
30,58A0CB0000101AE4,2025-06-10 19:37:08.673+00,"{""payload_hex"": ""00fb05d91d1d0700""}"
31,58A0CB0000101640,2025-06-10 19:40:20.881+00,"{""payload_hex"": ""00db3248ffffffff""}"
32,58A0CB0000108FF2,2025-06-10 19:41:12.649+00,"{""payload_hex"": ""08fb2928ffffffff""}"
33,58A0CB0000108FB5,2025-06-10 19:42:02.481+00,"{""payload_hex"": ""08ab2929ffffffff""}"
34,58A0CB0000108FB5,2025-06-10 19:49:02.252+00,"{""payload_hex"": ""08ab282effffffff""}"
35,58A0CB0000108FF2,2025-06-10 19:49:12.87+00,"{""payload_hex"": ""08fb282dffffffff""}"
36,58A0CB0000108FF2,2025-06-10 19:51:12.931+00,"{""payload_hex"": ""08fb2821ffffffff""}"
37,58A0CB0000108FB5,2025-06-10 19:52:23.945+00,"{""payload_hex"": ""08ab2823ffffffff""}"
